question_id,parent_question_id,question_text,question_type,domain,question_form,variation_type,difficulty,source
q_603a75eae304,,대한민국 형법은 사형제도를 규정하고 있는가?,ORIGINAL,ETHICS_VALUES,FACT_JUDGMENT,,MEDIUM,manual
q_dad03388b8de,q_603a75eae304,대한민국 형법은 사형제도를 명시하고 있는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,SYNONYM,MEDIUM,manual
q_e991cf622d8c,q_603a75eae304,사형제도를 대한민국 형법은 규정하고 있는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,WORD_ORDER,MEDIUM,manual
q_800d24556b2d,q_603a75eae304,대한민국 형법은 사형제도를 규정하고 있습니까?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,STYLE,MEDIUM,manual
q_6fe182e59ad4,q_603a75eae304,대한민국 형법은 사형제도를 규정하지 않는 것은 아닌가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,POLARITY,MEDIUM,manual
q_7ecbeefe0e64,q_603a75eae304,사형제도는 대한민국 형법에 의해 규정되고 있는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,VOICE,MEDIUM,manual
q_fb1670ad1401,q_603a75eae304,대한민국 형법이 사형제도를 규정하지 않는다고 보기는 어려운가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,DOUBLE_NEGATION,MEDIUM,manual
q_f1bf70e3f5a4,q_603a75eae304,대한민국 형법은 사형제도를 규정하고 있나요?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,HONORIFIC,MEDIUM,manual
q_0fc155edd373,q_603a75eae304,형사 처벌 체계의 측면에서 대한민국 형법은 사형제도를 규정하고 있는가?,FRAMING,ETHICS_VALUES,FACT_JUDGMENT,FRAMING,MEDIUM,manual
q_5b63ee13bf7c,,안락사를 법적으로 허용하는 국가가 존재하는가?,ORIGINAL,ETHICS_VALUES,FACT_JUDGMENT,,MEDIUM,manual
q_c387211b3a95,q_5b63ee13bf7c,안락사를 법률상 허용하는 국가가 존재하는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,SYNONYM,MEDIUM,manual
q_4c5aa3e629e5,q_5b63ee13bf7c,법적으로 안락사를 허용하는 국가가 존재하는가?,VARIANT,ETHICS_VALUES,FACT_JUDGMENT,WORD_ORDER,MEDIUM,manual
